,pred,truth
0,4.692534,5.0
1,4.692534,5.0
2,4.692534,5.0
3,4.5574718,4.0
4,4.5574718,3.0
5,4.5574718,3.0
6,4.3343997,5.0
7,4.3343997,5.0
8,4.3343997,5.0
9,2.4982116,2.0
10,2.4982116,4.0
11,2.4982116,4.0
12,4.726132,5.0
13,4.726132,5.0
14,4.726132,5.0
15,4.6528473,5.0
16,4.6528473,3.0
17,4.6528473,3.0
18,4.592875,5.0
19,4.592875,5.0
20,4.592875,5.0
21,3.9487097,5.0
22,3.9487097,4.0
23,3.9487097,5.0
24,4.7098227,5.0
25,4.7098227,5.0
26,4.7098227,5.0
27,4.2870054,5.0
28,4.2870054,5.0
29,4.2870054,5.0
30,4.0623837,5.0
31,4.0623837,4.0
32,4.0623837,5.0
33,2.4311197,4.0
34,2.4311197,2.0
35,2.4311197,5.0
36,3.295087,5.0
37,3.295087,5.0
38,3.295087,5.0
39,4.6444893,4.0
40,4.6444893,5.0
41,4.6444893,5.0
42,2.149853,4.0
43,2.149853,2.0
44,2.149853,3.0
45,4.642275,5.0
46,4.642275,5.0
47,4.642275,5.0
48,3.6450803,4.0
49,3.6450803,4.0
50,3.6450803,5.0
51,4.449577,5.0
52,4.449577,5.0
53,4.449577,5.0
54,2.2241192,1.0
55,2.2241192,1.0
56,2.2241192,4.0
57,3.6418853,4.0
58,3.6418853,5.0
59,3.6418853,5.0
60,4.629534,5.0
61,4.629534,5.0
62,4.629534,5.0
63,4.539189,5.0
64,4.539189,3.0
65,4.539189,5.0
66,3.6551104,4.0
67,3.6551104,4.0
68,3.6551104,4.0
69,3.2505276,4.0
70,3.2505276,4.0
71,3.2505276,4.0
72,3.189464,1.0
73,3.189464,2.0
74,3.189464,3.0
75,3.2085583,3.0
76,3.2085583,1.0
77,3.2085583,4.0
78,4.601295,5.0
79,4.601295,5.0
80,4.601295,5.0
81,4.544303,5.0
82,4.544303,5.0
83,4.544303,5.0
84,3.0827518,4.0
85,3.0827518,2.0
86,3.0827518,4.0
87,4.4924145,5.0
88,4.4924145,3.0
89,4.4924145,3.0
90,2.9025588,4.0
91,2.9025588,4.0
92,2.9025588,4.0
93,2.6038456,3.0
94,2.6038456,4.0
95,2.6038456,4.0
96,3.914751,4.0
97,3.914751,4.0
98,3.914751,5.0
99,2.344578,1.0
100,2.344578,1.0
101,2.344578,1.0
102,3.9184825,4.0
103,3.9184825,4.0
104,3.9184825,5.0
105,4.420869,5.0
106,4.420869,5.0
107,4.420869,5.0
108,4.564479,5.0
109,4.564479,5.0
110,4.564479,5.0
111,4.7373037,5.0
112,4.7373037,5.0
113,4.7373037,5.0
114,3.04818,1.0
115,3.04818,4.0
116,3.04818,4.0
117,4.649944,5.0
118,4.649944,5.0
119,4.649944,5.0
120,3.052148,1.0
121,3.052148,2.0
122,3.052148,4.0
123,3.834297,4.0
124,3.834297,3.0
125,3.834297,5.0
126,2.0849333,1.0
127,2.0849333,2.0
128,2.0849333,1.0
129,2.8326287,3.0
130,2.8326287,4.0
131,2.8326287,5.0
132,4.6570106,5.0
133,4.6570106,5.0
134,4.6570106,5.0
135,3.4464276,4.0
136,3.4464276,4.0
137,3.4464276,5.0
138,4.579273,5.0
139,4.579273,5.0
140,4.579273,5.0
141,4.671894,5.0
142,4.671894,5.0
143,4.671894,5.0
144,2.6367671,2.0
145,2.6367671,2.0
146,2.6367671,3.0
147,4.094329,5.0
148,4.094329,4.0
149,4.094329,5.0
150,4.031896,4.0
151,4.031896,5.0
152,4.031896,5.0
153,4.653076,5.0
154,4.653076,5.0
155,4.653076,5.0
156,4.6069884,5.0
157,4.6069884,5.0
158,4.6069884,5.0
159,2.495282,4.0
160,2.495282,4.0
161,2.495282,4.0
162,4.6346183,5.0
163,4.6346183,5.0
164,4.6346183,5.0
165,4.5753293,5.0
166,4.5753293,5.0
167,4.5753293,5.0
168,2.9269028,4.0
169,2.9269028,4.0
170,2.9269028,4.0
171,3.348288,3.0
172,3.348288,3.0
173,3.348288,5.0
174,4.534094,5.0
175,4.534094,4.0
176,4.534094,5.0
177,3.7987003,3.0
178,3.7987003,4.0
179,2.6762016,1.0
180,2.6762016,1.0
181,3.879398,3.0
182,3.879398,4.0
183,4.400969,5.0
184,4.400969,3.0
185,3.6887405,4.0
186,3.6887405,4.0
187,3.9198453,2.0
188,3.9198453,5.0
189,4.3590965,1.0
190,4.3590965,3.0
191,3.8681204,5.0
192,3.8681204,4.0
193,4.4107037,5.0
194,4.4107037,5.0
195,3.6653228,5.0
196,3.6653228,5.0
197,3.9285164,5.0
198,3.9285164,5.0
199,3.682119,5.0
200,3.682119,4.0
201,3.3235278,4.0
202,3.3235278,3.0
203,3.04059,3.0
204,3.04059,3.0
205,4.5228844,3.0
206,4.5228844,5.0
207,4.679527,5.0
208,4.679527,5.0
209,2.9327862,2.0
210,2.9327862,3.0
211,4.6175814,1.0
212,4.6175814,3.0
213,3.1735806,5.0
214,3.1735806,4.0
215,3.7959116,4.0
216,3.7959116,3.0
217,4.6444893,4.0
218,4.6444893,3.0
219,3.5387225,3.0
220,3.5387225,3.0
221,4.5944557,5.0
222,4.5944557,5.0
223,3.020149,2.0
224,3.020149,3.0
225,3.7214167,4.0
226,3.7214167,3.0
227,3.7650926,4.0
228,3.7650926,3.0
229,3.0855148,4.0
230,3.0855148,4.0
231,3.2085583,4.0
232,3.2085583,4.0
233,4.645411,5.0
234,4.645411,5.0
235,4.116498,4.0
236,4.116498,4.0
237,2.9184394,2.0
238,2.9184394,4.0
239,4.65677,5.0
240,4.65677,5.0
241,4.358191,5.0
242,4.358191,4.0
243,3.6584415,2.0
244,3.6584415,3.0
245,4.5474195,4.0
246,4.5474195,5.0
247,4.578263,5.0
248,4.578263,5.0
249,2.3775713,4.0
250,2.3775713,4.0
251,3.8371,5.0
252,3.8371,4.0
253,3.6258328,3.0
254,3.6258328,3.0
255,4.639833,5.0
256,4.639833,5.0
257,4.5727797,5.0
258,4.5727797,4.0
259,2.5408468,1.0
260,2.5408468,3.0
261,3.1002948,4.0
262,3.1002948,3.0
263,3.359595,4.0
264,3.359595,4.0
265,4.654753,5.0
266,4.654753,5.0
267,3.9875848,5.0
268,3.9875848,4.0
269,3.7793415,4.0
270,3.7793415,3.0
271,4.649944,5.0
272,4.649944,5.0
273,3.8130577,5.0
274,3.8130577,4.0
275,2.325196,3.0
276,2.325196,3.0
277,2.6911528,2.0
278,2.6911528,3.0
279,4.1456475,5.0
280,4.1456475,4.0
281,4.7421675,4.0
282,4.7421675,5.0
283,4.6766415,5.0
284,4.6766415,5.0
285,3.7582524,4.0
286,3.7582524,3.0
287,4.016331,5.0
288,4.016331,4.0
289,4.4300923,5.0
290,4.4300923,5.0
291,2.6279514,5.0
292,2.6279514,4.0
293,4.5812497,5.0
294,4.5812497,5.0
295,4.35348,5.0
296,4.35348,4.0
297,4.1949463,2.0
298,4.1949463,1.0
299,4.1949463,2.0
300,3.6462054,5.0
301,3.6462054,5.0
302,3.6462054,5.0
303,3.110854,5.0
304,3.110854,4.0
305,3.110854,5.0
306,4.62792,5.0
307,4.62792,4.0
308,4.62792,5.0
309,4.568348,3.0
310,4.568348,5.0
311,4.568348,3.0
312,3.6653228,5.0
313,3.6653228,5.0
314,3.6653228,5.0
315,2.2246647,5.0
316,2.2246647,4.0
317,2.2246647,5.0
318,2.6178033,5.0
319,2.6178033,5.0
320,2.6178033,5.0
321,3.742005,3.0
322,3.742005,2.0
323,3.742005,4.0
324,3.0580597,5.0
325,3.0580597,4.0
326,3.0580597,5.0
327,3.7219894,4.0
328,3.7219894,3.0
329,3.7219894,4.0
330,4.55663,3.0
331,4.55663,4.0
332,4.55663,3.0
333,3.399833,2.0
334,3.399833,4.0
335,3.399833,2.0
336,4.564381,3.0
337,4.564381,2.0
338,4.564381,3.0
339,2.7979696,5.0
340,2.7979696,3.0
341,2.7979696,4.0
342,4.2223663,5.0
343,4.2223663,2.0
344,4.2223663,5.0
345,3.6753192,5.0
346,3.6753192,2.0
347,3.6753192,5.0
348,4.3753047,4.0
349,4.3753047,3.0
350,4.3753047,4.0
351,3.367285,5.0
352,3.367285,4.0
353,3.367285,5.0
354,4.539189,3.0
355,4.539189,4.0
356,4.539189,3.0
357,3.1007564,5.0
358,3.1007564,2.0
359,3.1007564,5.0
360,2.6541286,3.0
361,2.6541286,4.0
362,2.6541286,3.0
363,4.7031646,3.0
364,4.7031646,3.0
365,4.7031646,3.0
366,4.7063007,5.0
367,4.7063007,2.0
368,4.7063007,5.0
369,3.3895257,5.0
370,3.3895257,2.0
371,3.3895257,5.0
372,3.0011034,3.0
373,3.0011034,2.0
374,3.0011034,2.0
375,4.544303,5.0
376,4.544303,3.0
377,4.544303,5.0
378,3.6995308,3.0
379,3.6995308,3.0
380,3.6995308,4.0
381,2.8341937,3.0
382,2.8341937,4.0
383,2.8341937,3.0
384,4.3912187,3.0
385,4.3912187,3.0
386,4.3912187,3.0
387,4.366577,5.0
388,4.366577,3.0
389,4.366577,5.0
390,4.6260147,4.0
391,4.6260147,3.0
392,4.6260147,5.0
393,4.601415,3.0
394,4.601415,5.0
395,4.601415,3.0
396,3.6769335,5.0
397,3.6769335,4.0
398,3.6769335,5.0
399,2.9070663,3.0
400,2.9070663,4.0
401,2.9070663,4.0
402,4.43004,5.0
403,4.43004,5.0
404,4.43004,5.0
405,2.5081491,2.0
406,2.5081491,1.0
407,2.5081491,3.0
408,3.6170828,4.0
409,3.6170828,3.0
410,3.6170828,5.0
411,2.325196,2.0
412,2.325196,2.0
413,2.325196,3.0
414,4.464116,3.0
415,4.464116,4.0
416,4.464116,5.0
417,3.6219082,3.0
418,3.6219082,2.0
419,3.6219082,5.0
420,4.7125473,5.0
421,4.7125473,2.0
422,4.7125473,5.0
423,4.712821,5.0
424,4.712821,1.0
425,4.712821,5.0
426,4.0197563,5.0
427,4.0197563,3.0
428,4.0197563,5.0
429,3.006186,5.0
430,3.006186,1.0
431,3.006186,5.0
432,4.528013,4.0
433,4.528013,4.0
434,4.528013,5.0
435,4.536543,4.0
436,4.536543,4.0
437,4.536543,4.0
438,4.2959785,3.0
