id,comment_text,toxic
00a66540b2a66bb4,"""
Thanks for the copy-edit, OMG it reads so professional. ) I appreciate it a lot. Yeah, I knew that that would be a problem. Okay, here's the """"back story"""" to it. Danny had body paint while he was a robot during a sketch. During the after party, in which the theme was a black light one, everybody could see that Danny still had paint on him, as it hadn't washed off or something. To be sure, Jack had a black light switch in his apartment, and when Liz came in, he turned it on, which resulted in Liz having the paint all over her, see here. Or if whatever I just said doesn't make sense, read here and here (about the paint still on Danny and the black light attack).
Yeah, I thought maybe if people saw that, the GA note, they won't leave me a message. Though, that didn't work, as a user left me a message regarding an article I reviewed. This has to work in the future. I'm a have to make it better. I still haven't gotten the chance to see it, but I have to see it. I need to know what happened and stuff. Well, after I got the news that he lost, I started watching his DVD and telling myself that I'll never see his wrestling moves again. I didn't cry, I  was just sad. The night on Raw, I lost it and cried. Whatever, I didn't think that was cool. Shawn didn't mind, but I did. Not really, I still don't see that """"face"""" like quality to him. I think they'll play Randy out like Triple H, you know, good with the crowd, but still have him """"heel-ish"""". Maybe cause all the new people are heel and they need some faces... who knows. Speaking of Randy, today's his birthday, turned 30. Well, if you remember, his first """"punted"""" victim was Shawn, so, nice to see that he did that to Cody... all in the storyline, Nici. ) You are welcome for Danielson and Miz, I guess.  (Hit  """,0
00be7dcac98dc95d,this user is such a worthless goddamn faggot fuck you faggot,1
03a0a8207851deed,It may seem trivial but your consistent refusal to use ~~~~ to sign your comments suggests to me that you in fact have no desire to join the Church of Wikipedia - you merely wish to push one article through. I see no evidence of your resubmitting the article - did you save it? Did you check for it after saving? — RHaworth,0
03f2210b3306325c,Really now. Something I've written on my personal user space was nominated for deletion? Great job..  (T//e/c),0
0686e75d206dbd61,That goes without saying. Everyone who's edited for more than a week knows that content takes a back seat to Cabal loyalty at Wikipedia.,0
07ae0642bc653487,"I love to talk to people and they like to talk to me

i love to skateboard and i do not have a myspace this

is the only thing i got.",0
07ff0744ebbf7c82,"""

I do not want to keep this ongoing, but I will respond to a few comments you made.  I never said I was a newbie.  I said I was """"inexperienced"""", as I log on infrequently.  I thought I was in sandbox, and unknowingly made the change.  Again, for someone who made two very small errors, you should assume good faith.  If you feel it is vandalism, ask the user what is going on before jumping to judgement.
  """,0
09c9a368f8d33d28,"""

 It seems edit-warring is back 

Long time no see. Unfortunetly, I am here once again to say user """"Ninguém"""" is once again edit-warring my edits. Funny, I have been out of Wikipedia for some days (too busy) and while I was out, user """"Ninguém"""" almost did not post anything in Wikipedia. Now that I am returning, the user seems to be once again active in Wikipedia. It's incredible how fast he is able to edit an article I have recnetly edited. In a few minutes, he's there posting or reverting something. When I am not posting in Wikipedia, he is not posting too. 

I think it's clear the other user follows my edits. It's also funny an user who claimed to not to be associate with Wikipedia, who seemed to be leaving the projective, is once again active (only because I am returning). With hundreds of articles in Wikipedia, it seems the other users is only interested in the articles I recently posted. This is really strange. I try to be far from the other user, but it's impossible because he follows me and spends hours a day checking my recent edits. Please, do something aboout. It cannot keep this way.   """,0
0ac5acb69ea0a699,"You haven't looked into in the blatant POV and editing history of Malik Shabazz? Is it that you are not interested, agree with his POV pushing, or do you just fear him?",0
136f844e3a1ff7eb,"TLTS 

Hey there! I find that you reverted few edits of mine. One being the addition of this image. Please do not change it back to the image you uploaded because it has a higher resolution. As far as the addition of DVD release dates is concerned, I added the regions only after I saw that various episode lists feature all the 3 regions. Anyway I would like your input and hopewe can continue to better the episode list. Do care to leave a talkback!",0
18ed34cf565d2963,"when,i have time,i will reorganize the article,and help you in writing it.",0
1a092b7759de2a30,"""

It's not Albanian, it is in disputed region of Kosovo. speaks """,0
1e60e546d32736b3,"""Also Sandstein, I hope you can explain how you came to reach the decision you did on whether the interaction bans were valid or not, because when one looks at it logically one can see that you have acted in defiance of your authority as an admin. But when one looks at what you did behind the scenes in conjunction with a certain editor at WP:IBAN is just the cherry on top of the icecream. During the AE report that editor adds this to the policy. You then amend it  the edit summary of your edit is quite amusing considering the conclusion you reached at AE. That editor then posts Wikipedia_talk:Banning_policy#Clarification_in_the_interaction_between_site_and_interaction_ban and he hopes """"it is non-controversial?"""" Oh no, of course not, it is entirely uncontroversial to go and amend POLICY in the middle of an AE enforcement to ensure that a fellow EEMLer is let off without sanction. If this has happened once, chances are it's happened before right? It would indeed be interesting have a look at the previous appearances of Volunteer Marek at AE, and see if he got off without sanction as a result of deceptive shit going on in the background. I know of one occasion it did; on that occasion Piotrus went running to Newyorkbrad and wikilawyered his EMML buddy out of yet another block. It is for that reason, upon seeing that occur, and my block being left intact, that I sent Arbcom a number of emails to ask them what the fuck they were doing. Would anyone like to have a look at other instance, and see if that held true, and who the AE closing admin was. I know the AE from last year didn't see any possibility of Piotrus getting VM out of the shit; but instead, several days into VM's massive two week block (don't worry VM, it will be an indefinite block for you soon enough), Piotrus goes and awards VM a purple heart barnstar; the purple heart of course being awarded to those injured in battle; what a nice fitting tribute to the battleground that is Volunteer Marek's talk page  it's still displayed there. Perhaps a Polish speaker can tell us what it means?

Sandstein, you should start doing the right thing right about now! Unblock and hand in your tools voluntarily, because if you don't I am going to be insisting that along with desysop you are banished from this project entirely...for good. You foolish, foolish person.   

""",0
1f249b6a17bdab43,"""There is no """"Cardiff Metropolitan Area"""" with 1.4m people. This is not a statistical entity or an administrative unit. 

""",0
1fb168edf88feefa,"""==Dominican Americans==
Please stop vandalizing the list of Dominican Americans with names of individuals that have no Dominican ancestry and/or who have never lived in the USA. John Lithgow is NOT Dominican. His father is a US Citizen born in Dominican Republic. Due to laws that prohibited dual citizenship in the past his father did not have Dominican citizenship, nor does have ancestry. His father can be added to the list with the mention that he was """"born in the DR"""" however John does not qualify for inclusion.  Furthermore, Johnny Ventura and Juan Luis Guerra have never lived in the USA. Therefore they do not qualify as Dominican-Americans because they were not born in the USA nor emigrated. Please refrain from adding these names as it can be labeled as vandalism and will be reported to an administrator. Thank you for your understanding. """,0
21e00fde3f4f4ee9,"""

You are out of your mind man.  Most all the links there had everything to do with XDCC, which is the topic.  Some were XDCC clients and others were XDCC search engines.  Is your nazi attempt at control and punishment the norm here at wiki?  """"You don't like my changes so I will remove everything""""?  You expect to get respect doing things like this?  Just so you know I will be reporting your abuse of position.""",0
22088761aece5f38,"WMC, after reviewing the second part of this edit, , I agree that I was out of line.  I offer my sincerest apologies for having made it.   has already reverted the comment.   

On the subject of harassment, I would like to know if you sincerely feel as though I have been singling you out or harassing you in some fashion.  Could you please let me know if this is the case?",0
225b27be890690cd,""":::::Please reread my post above (the one that ends with """"See the difference?"""").  If you asked a man in Brazil who won the title of best baseball team in the world in 2008, he might be confused and say, correctly, that that title doesn't exist.  That doesn't mean that there wasn't a baseball team that won the """"World Series"""" in 2008 in the United States.  Again, see the difference?  When you rephrase things (especially things involving phrases translated between dissimilar languages), things get confused.  The current handbook contains an abundance of detail about the All Asia Championship.  Partially summarizing the situation to a news reporter and then having her ask an expert three questions based on her minimal understanding of the situation while constructing a story explicitly hostile to Oom Yung Doe (which was what I meant by """"hostile"""", obviously) is not a good way to seek the truth.

As I said, I'm not arguing that this should simply not be presented; it is close enough to an informed, expert opinion that I can't really ask for it to be ignored except in the face of contradictory evidence.    

""",0
22c01df001ce942e,"""
 A link to more concerned users   """,0
263681992f78ebcc,"A couple comments. (1) Freedom of speech is a human right. It can not be arbitrarily erased at Wikipedia because somebody decided once upon a time to make WP:NOFREESPEECHHERE part of company policy. (2) It follows that people should have a right to say whatever they want on their talk pages, so long as they are here to build an encyclopedia and not for ulterior or nefarious motives.",0
26d840f8d7e97cb0,"""

 Am sending it now! Sorry for late response! '''''' my talk page! """,0
30aefe07f0848411,"""

 Your comments on Algebraic Topology 

Hi Dylan, I hope you're well. I'm not sure that I agree with your comments. Would you say that a knot was a topological object of study? Would you say that a polynomial was an algebraic object of study? If your answer to these two questions is """"yes"""", then how would you describe the Alexander polynomial, the HOMFLY polynomial and the Jones polynomial? They are algebraic constructions used to study toplogical objects, ergo part of algebraic topology. ~~  (Talk)   ~~ """,0
32c505f7194169c7,"William patrick may 

I think your redirect of this might be an error.  I think the editor of this article cut and pasted the Billy May article to use as a template for an article on someone called William patrick may - not that I can find any notable of that name.",0
35a5772ca22ffd2b,"You are a coward 
You are a coward, a liar, and a non-understander. Havent you looked on the other foreign relations of Barbados articles? If you havent, take a look, because I do not think you have seen them. And you must be one of those ignorant people that do not care about others and want to do it their own way, just like the foolish countries that did not recognize Abkhazia and South Ossetia but recognzied Kosovo. Your one of those people. I am ashamed of you.",1
3dd7114c522b9bc9,"""
And TF have also been cited by mainstream television networks. Positions based on personal opinions or conjecture lacking even the most basic of evidence aren't particularly convincing either. Either way, it's a dead horse.   [talk] """,0
