id,text,non_hashtags_text,author_id,hashtags
1512584725671514116,"RT @psychicaquarius: Aquarius,Leo,Scorpio,Aries,Virgo— 

Please let go of the pain you’re experiencing from putting everyone’s problems and…","RT @psychicaquarius: Aquarius,Leo,Scorpio,Aries,Virgo— 

Please let go of the pain you’re experiencing from putting everyone’s problems and…",857441691711684612,[]
1512584724631465986,RT @Artisminerva: What happens when a little girl wants to avoid her life problems? She turns into a dog. Poster for my thesis film Mi Puki…,RT @Artisminerva: What happens when a little girl wants to avoid her life problems? She turns into a dog. Poster for my thesis film Mi Puki…,1431011319059292160,[]
1512584718516199430,RT @LexiRidinn: I wanna get fucked so good I forget all my problems 😭😭,RT @LexiRidinn: I wanna get fucked so good I forget all my problems 😭😭,982977024,[]
1512584715705982981,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,344877531,[]
1512584709532012548,I jus feel like all my problems go away once I get my hair done &lt;33.,I jus feel like all my problems go away once I get my hair done &lt;33.,1117463974424055808,[]
1512584709401849860,"RT @zanshake: Mental Reframe 

The whole point of the game is the challenge, the struggle, the problems, the issues 

Not to avoid it or be…","RT @zanshake: Mental Reframe 

The whole point of the game is the challenge, the struggle, the problems, the issues 

Not to avoid it or be…",1487844514429501441,[]
1512584700145057798,"RT @BabaYehgar: If you were useful, they would tell you.

I say this because, the primary reason people share their problems is because the…","RT @BabaYehgar: If you were useful, they would tell you.

I say this because, the primary reason people share their problems is because the…",1141803889,[]
1512584690213040131,"RT @__LuQQQ: People buying beans for N10k are part of the problems we have in this country.

There is nothing that can be corporate about b…","RT @__LuQQQ: People buying beans for N10k are part of the problems we have in this country.

There is nothing that can be corporate about b…",1048377903900229632,[]
1512584683808120833,"RT @NeverlandTI: I never thought I’d need to make a tweet like this, but my cat needs surgery due to problems in his urinary tract. I’m hos…","RT @NeverlandTI: I never thought I’d need to make a tweet like this, but my cat needs surgery due to problems in his urinary tract. I’m hos…",993413403610898433,[]
1512584683057463300,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,959265764,[]
1512584677885890564,RT @DanielaNadj: Brexit means you lose the right to live and work across the EU. But the politicians who deprived you of that right get to…,RT @DanielaNadj: Brexit means you lose the right to live and work across the EU. But the politicians who deprived you of that right get to…,1054930407785848832,[]
1512584676128407553,"RT @nikki_miumiu: Look at her face, what a political stunt.
Dirty politicians in the west are using Ukrainian war as an excuse to shake the…","RT @nikki_miumiu: Look at her face, what a political stunt.
Dirty politicians in the west are using Ukrainian war as an excuse to shake the…",876102870008864768,[]
1512584674907987969,"RT @BabaYehgar: If your man doesn't open up to you,  it tells us more about you than it says about him.

And announcing it on social media…","RT @BabaYehgar: If your man doesn't open up to you,  it tells us more about you than it says about him.

And announcing it on social media…",1141803889,[]
1512584673469562881,"@AlanStump1 @TheyCallMeTomO1 Have had tap water all my life also school tank with wrigglers, in my 70s no problems. Australia","@AlanStump1 @TheyCallMeTomO1 Have had tap water all my life also school tank with wrigglers, in my 70s no problems. Australia",54410550,[]
1512584671066193920,"“Not all design problems are product design problems... Some projects require weeks or months because the challenge isn’t generating ideas or artifacts quickly, but turning insights into lasting habits and sustainable processes.” https://t.co/OrrSAaAYlJ","“Not all design problems are product design problems... Some projects require weeks or months because the challenge isn’t generating ideas or artifacts quickly, but turning insights into lasting habits and sustainable processes.” https://t.co/OrrSAaAYlJ",7674012,[]
1512584670642274304,RT @thelovelykacy: I have 99 problems and a peach ain't one🍑🍑🍑 Come see what mess I'm getting into on stream~~~ https://t.co/8nvRgk8cvB,RT @thelovelykacy: I have 99 problems and a peach ain't one🍑🍑🍑 Come see what mess I'm getting into on stream~~~ https://t.co/8nvRgk8cvB,2973645395,[]
1512584665563029511,RT @bellasuee1: sleeping away my problems,RT @bellasuee1: sleeping away my problems,825071856,[]
1512584665210793990,"RT @MelMitchell1: But it's worth remembering the Bongard problems, created by a Russian computer scientist in the 1960s as a challenge to A…","RT @MelMitchell1: But it's worth remembering the Bongard problems, created by a Russian computer scientist in the 1960s as a challenge to A…",3771094815,[]
1512584654645338114,"RT @danielgoyal: ...loves the NHS, honest!

13. Just to prove Johnson has won the fight against Covid, the public in a number of areas were…","RT @danielgoyal: ...loves the NHS, honest!

13. Just to prove Johnson has won the fight against Covid, the public in a number of areas were…",4797633262,[]
1512584653403836417,RT @wjameswright: @melaniejoly What about the economic problems in Canada? The budget didn't help any,RT @wjameswright: @melaniejoly What about the economic problems in Canada? The budget didn't help any,1260645037421010946,[]
1512584651176509440,RT @kemimarie: i better see every celebrity that had some shit to say about Will Smith speaking up on truly harmful problems and people. si…,RT @kemimarie: i better see every celebrity that had some shit to say about Will Smith speaking up on truly harmful problems and people. si…,711362952985710593,[]
1512584647624044551,"RT @AdamKTwardowski: Poland’s de facto leader Jarosław Kaczyński says of his country’s relations with Hungary, “We cannot cooperate as we h…","RT @AdamKTwardowski: Poland’s de facto leader Jarosław Kaczyński says of his country’s relations with Hungary, “We cannot cooperate as we h…",4230938057,[]
1512584645329698825,"RT @psychicaquarius: Aquarius,Leo,Scorpio,Aries,Virgo— 

Please let go of the pain you’re experiencing from putting everyone’s problems and…","RT @psychicaquarius: Aquarius,Leo,Scorpio,Aries,Virgo— 

Please let go of the pain you’re experiencing from putting everyone’s problems and…",3070607158,[]
1512584642079174660,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,RT @KFCBarstool: Now I’m having connection problems too?? Fantastic,788398482,[]
1512584637029416963,"RT @_haydensmith__: “Don’t hope for a life without problems, There’s no such thing. Instead, hope for a life full of good problems.” - @IAm…","RT @_haydensmith__: “Don’t hope for a life without problems, There’s no such thing. Instead, hope for a life full of good problems.” - @IAm…",1482705305528320002,[]
1512584629852811267,"RT @Osinttechnical: ""We believe that they have not solved all of their logistics and sustainment problems... They existed outside Ukraine,…","RT @Osinttechnical: ""We believe that they have not solved all of their logistics and sustainment problems... They existed outside Ukraine,…",3168995085,[]
1512584617932460037,"RT @anteneh_asnake: This sobering fact must be on the minds of all Western hypocrites! Ethiopia deserves to be treated fairly, impartially,…","RT @anteneh_asnake: This sobering fact must be on the minds of all Western hypocrites! Ethiopia deserves to be treated fairly, impartially,…",1472800091643678720,[]
1512584610093408258,@makenamaybank https://t.co/ux8pDBO8aR,@makenamaybank https://t.co/ux8pDBO8aR,1511455384753614855,[]
1512584608738648075,I just stay to myself and problems still happen,I just stay to myself and problems still happen,3138651079,[]
1512584607421837312,"RT @kyeomdaily: i have 99 problems and this video of dokyeom solved 100 of them..#도겸 #세븐틴 
 https://t.co/EEegNc1Uwi","RT @kyeomdaily: i have 99 problems and this video of dokyeom solved 100 of them..<UNKTAG> <UNKTAG> 
 https://t.co/EEegNc1Uwi",1506829176510500866,"['도겸', '세븐틴']"
1512584603114287104,"RT @bleh_302019: UNITEAM IN TACLOBAN
#TaclobanForBBMSARA
#HateWillNeverWinTDR

We all have problems; the way we solve them is what makes us…","RT @bleh_302019: UNITEAM IN TACLOBAN
<UNKTAG>
<UNKTAG>

We all have problems; the way we solve them is what makes us…",1510450462872707129,"['TaclobanForBBMSARA', 'HateWillNeverWinTDR']"
1512584597539901444,RT @SaneCatMommy: @Naturewatch_org @KateNWF Why do rescuers keep trying to take animals over the Polish border when they know how difficult…,RT @SaneCatMommy: @Naturewatch_org @KateNWF Why do rescuers keep trying to take animals over the Polish border when they know how difficult…,1499196019124355078,[]
1512584595119775747,"If u wanna know people that guy have a mental problems.
Want a payment from disabled me. I don't left him. 2years ago he wanna be with me, and now he wanna pay cause I'm happy. I tweet for ladies and they husband's and lovers.
Goodnight! https://t.co/ysBznuEMn0","If u wanna know people that guy have a mental problems.
Want a payment from disabled me. I don't left him. 2years ago he wanna be with me, and now he wanna pay cause I'm happy. I tweet for ladies and they husband's and lovers.
Goodnight! https://t.co/ysBznuEMn0",1512236619683835927,[]
1512584591667720192,RT @jacketrose86: How can you watch what's going on in Ukraine and still think Republicans are the answer to all our problems? The GOP are…,RT @jacketrose86: How can you watch what's going on in Ukraine and still think Republicans are the answer to all our problems? The GOP are…,1224566569319239680,[]
1512584591546064899,RT @Chr_Koenig: I've been using #R and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,RT @Chr_Koenig: I've been using <UNKTAG> and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,108989193,['R']
1512584590711525382,"RT @swapnakpanda: 👩‍💻 Practice 100+ Problems

Using your favourite language
    ❍  C
    ❍  C++
    ❍  Python
    ❍  Java
    ❍  C#
    ❍…","RT @swapnakpanda: 👩‍💻 Practice 100+ Problems

Using your favourite language
    ❍  C
    ❍  C++
    ❍  Python
    ❍  Java
    ❍  C#
    ❍…",1316428925233397760,[]
1512584590329888773,RT @bellasuee1: sleeping away my problems,RT @bellasuee1: sleeping away my problems,1509903059828289563,[]
1512584589495214080,"RT @FedExHelp: @darthvetter82 Hi, this is Gaylen. I am so sorry for any problems with your package delivery.  

I can escalate your concern…","RT @FedExHelp: @darthvetter82 Hi, this is Gaylen. I am so sorry for any problems with your package delivery.  

I can escalate your concern…",1297308049,[]
1512584585032437762,"RT @swapnakpanda: 👩‍💻 Practice 100+ Problems

Using your favourite language
    ❍  C
    ❍  C++
    ❍  Python
    ❍  Java
    ❍  C#
    ❍…","RT @swapnakpanda: 👩‍💻 Practice 100+ Problems

Using your favourite language
    ❍  C
    ❍  C++
    ❍  Python
    ❍  Java
    ❍  C#
    ❍…",951759791554224129,[]
1512584579806339073,"We have officially moved in!! This building is THE premier new, free-standing and state of the art facility in Long Island and Queens for the evaluation of head and neck, thyroid, and skull base surgical problems by our team of Northwell Head and Neck Surgeons. https://t.co/pVapEvkhUc","We have officially moved in!! This building is THE premier new, free-standing and state of the art facility in Long Island and Queens for the evaluation of head and neck, thyroid, and skull base surgical problems by our team of Northwell Head and Neck Surgeons. https://t.co/pVapEvkhUc",1913621888,[]
1512584576727715840,"Beneath a Stormy Sky
Surviving a shipwreck was the least of her problems.
#Australianfiction #historicalfiction #Australia #kindleunlimited #paperback #colonial #pioneer #audio #outback #ruralfiction #primereadingau 
Amazon: https://t.co/PYx4Lz54ku https://t.co/7q9vQNvdOI","Beneath a Stormy Sky
Surviving a shipwreck was the least of her problems.
<UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> 
Amazon: https://t.co/PYx4Lz54ku https://t.co/7q9vQNvdOI",21355955,"['Australianfiction', 'historicalfiction', 'Australia', 'kindleunlimited', 'paperback', 'colonial', 'pioneer', 'audio', 'outback', 'ruralfiction', 'primereadingau']"
1512584576085938178,@foot_toons I hope things improve for you. It seems like a lot of us fetish workers are having problems lately. I’m glad you’ll still be around 💕,@foot_toons I hope things improve for you. It seems like a lot of us fetish workers are having problems lately. I’m glad you’ll still be around 💕,1384726875973500928,[]
