id,text,non_hashtags_text,author_id,hashtags
1512584607421837312,"RT @kyeomdaily: i have 99 problems and this video of dokyeom solved 100 of them..#도겸 #세븐틴 
 https://t.co/EEegNc1Uwi","RT @kyeomdaily: i have 99 problems and this video of dokyeom solved 100 of them..<UNKTAG> <UNKTAG> 
 https://t.co/EEegNc1Uwi",1506829176510500866,"['도겸', '세븐틴']"
1512584603114287104,"RT @bleh_302019: UNITEAM IN TACLOBAN
#TaclobanForBBMSARA
#HateWillNeverWinTDR

We all have problems; the way we solve them is what makes us…","RT @bleh_302019: UNITEAM IN TACLOBAN
<UNKTAG>
<UNKTAG>

We all have problems; the way we solve them is what makes us…",1510450462872707129,"['TaclobanForBBMSARA', 'HateWillNeverWinTDR']"
1512584591546064899,RT @Chr_Koenig: I've been using #R and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,RT @Chr_Koenig: I've been using <UNKTAG> and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,108989193,['R']
1512584576727715840,"Beneath a Stormy Sky
Surviving a shipwreck was the least of her problems.
#Australianfiction #historicalfiction #Australia #kindleunlimited #paperback #colonial #pioneer #audio #outback #ruralfiction #primereadingau 
Amazon: https://t.co/PYx4Lz54ku https://t.co/7q9vQNvdOI","Beneath a Stormy Sky
Surviving a shipwreck was the least of her problems.
<UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> <UNKTAG> 
Amazon: https://t.co/PYx4Lz54ku https://t.co/7q9vQNvdOI",21355955,"['Australianfiction', 'historicalfiction', 'Australia', 'kindleunlimited', 'paperback', 'colonial', 'pioneer', 'audio', 'outback', 'ruralfiction', 'primereadingau']"
1512584534197383168,"@GRNGRID 
#GRN #GRNGRID #SustainableBlockchain #DeFi #cryptocurrency
is an innovative project that have come to solve the problems facing various payment system and also engender mass adoption of cryptocurrency. Their proposed platform is loaded with many features that will make.","@GRNGRID 
<UNKTAG> <UNKTAG>GRID <UNKTAG> <UNKTAG> <UNKTAG>
is an innovative project that have come to solve the problems facing various payment system and also engender mass adoption of cryptocurrency. Their proposed platform is loaded with many features that will make.",1479506796154744832,"['GRN', 'GRNGRID', 'SustainableBlockchain', 'DeFi', 'cryptocurrency']"
1512584478035779595,RT @Chr_Koenig: I've been using #R and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,RT @Chr_Koenig: I've been using <UNKTAG> and @rstudio for years to tackle all kinds of data and coding problems. Here are some of my favorite sho…,1207798017287307265,['R']
1512584386021109764,"RT @STatikyan: Even in the post-war situation with serious external security and PTSD problems, #Armenia remains number 5 safest country in…","RT @STatikyan: Even in the post-war situation with serious external security and PTSD problems, <UNKTAG> remains number 5 safest country in…",1310188980709789701,['Armenia']
1512584379540783105,“I told him ‘I’d have problems hitting that. Had really good spin rate” - #rockies Kris Bryant on @DangeRussWilson first pitch. https://t.co/jOzJc7zsu1,“I told him ‘I’d have problems hitting that. Had really good spin rate” - <UNKTAG> Kris Bryant on @DangeRussWilson first pitch. https://t.co/jOzJc7zsu1,187335800,['rockies']
1512584697595166721,"RT @twinkyxstar: Watched #TomorrowEP3 and #ROWOON’s acting continues to impress👏🏻👏🏻 

I love that he has wide acting range &amp; variety of exp…","RT @twinkyxstar: Watched <UNKTAG> and <UNKTAG>’s acting continues to impress👏🏻👏🏻 

I love that he has wide acting range &amp; variety of exp…",1353530138168762368,"['TomorrowEP3', 'ROWOON']"
1512584686702596100,"RT @jichuhourly: i miss seeing her in variety shows
#지수 #JISOO https://t.co/aYba3STJUC","RT @jichuhourly: i miss seeing her in variety shows
<UNKTAG> <UNKTAG> https://t.co/aYba3STJUC",1073901589411201024,"['지수', 'JISOO']"
1512584600341557250,"@EmmanuelNyan5 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply #stop to opt out.","@EmmanuelNyan5 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply <UNKTAG> to opt out.",1250306233443082240,['stop']
1512584555663806464,"@BMVi777 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply #stop to opt out","@BMVi777 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply <UNKTAG> to opt out",1250306233443082240,['stop']
1512584544372805639,"Instead of a gym membership you may choose to invest in online fitness trainer apps or online memberships that widen the variety of activities and access you have to stellar fitness.

Read more 👉 https://t.co/oRBAK1zsHI

#IdealSituation #ExperienceLimitlessOptions https://t.co/j321UNykq7","Instead of a gym membership you may choose to invest in online fitness trainer apps or online memberships that widen the variety of activities and access you have to stellar fitness.

Read more 👉 https://t.co/oRBAK1zsHI

<UNKTAG> <UNKTAG> https://t.co/j321UNykq7",9570752,"['IdealSituation', 'ExperienceLimitlessOptions']"
1512584541042470919,"@BMVi777 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply #stop to opt out.","@BMVi777 Thank you for supporting our collaboration with BTS, we've prepared a special variety show for you and will remind you at 3PM PDT.💜 Reply <UNKTAG> to opt out.",1250306233443082240,['stop']
